Original order,Code,Country,Order,Continent,Wikipedia
1,AFG,Afghanistan,102,Asia,https://en.wikipedia.org/wiki/Afghanistan
2,ALB,Albania,75,Europe,https://en.wikipedia.org/wiki/Albania
3,DZA,Algeria,141,Africa,https://en.wikipedia.org/wiki/Algeria
4,ASM,American Samoa,A1,Other,https://en.wikipedia.org/wiki/American_Samoa
5,AND,Andorra,62,Europe,https://en.wikipedia.org/wiki/Andorra
6,AGO,Angola,180,Africa,https://en.wikipedia.org/wiki/Angola
7,ATG,Antigua and Barbuda,16,North America,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
8,ARG,Argentina,35,South America,https://en.wikipedia.org/wiki/Argentina 
9,ARM,Armenia,82,Asia,https://en.wikipedia.org/wiki/Armenia
10,ABW,Aruba,A2,Other,https://en.wikipedia.org/wiki/Aruba
11,AUS,Australia,128,Oceania,https://en.wikipedia.org/wiki/Australia
12,AUT,Austria,53,Europe,https://en.wikipedia.org/wiki/Austria
13,AZE,Azerbaijan,83,Asia,https://en.wikipedia.org/wiki/Azerbaijan
14,BHS,"Bahamas, The",11,North America,https://en.wikipedia.org/wiki/The_Bahamas
15,BHR,Bahrain,92,Asia,https://en.wikipedia.org/wiki/Bahrain
16,BGD,Bangladesh,107,Asia,https://en.wikipedia.org/wiki/Bangladesh
17,BRB,Barbados,17,North America,https://en.wikipedia.org/wiki/Barbados
18,BLR,Belarus,46,Europe,https://en.wikipedia.org/wiki/Belarus
19,BEL,Belgium,58,Europe,https://en.wikipedia.org/wiki/Belgium
20,BLZ,Belize,5,North America,https://en.wikipedia.org/wiki/Belize
21,BEN,Benin,157,Africa,https://en.wikipedia.org/wiki/Benin
22,BMU,Bermuda,A3,Other,https://en.wikipedia.org/wiki/Bermuda
23,BTN,Bhutan,106,Asia,https://en.wikipedia.org/wiki/Bhutan
24,BOL,Bolivia,31,South America,https://en.wikipedia.org/wiki/Bolivia 
25,BIH,Bosnia and Herzegovina,72,Europe,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
26,BWA,Botswana,183,Africa,https://en.wikipedia.org/wiki/Botswana
27,BRA,Brazil,28,South America,https://en.wikipedia.org/wiki/Brazil
28,VGB,British Virgin Islands,A4,Other,https://en.wikipedia.org/wiki/British_Virgin_Islands
29,BRN,Brunei Darussalam,123,Asia,https://en.wikipedia.org/wiki/Brunei
30,BGR,Bulgaria,77,Europe,https://en.wikipedia.org/wiki/Bulgaria
31,BFA,Burkina Faso,147,Africa,https://en.wikipedia.org/wiki/Burkina_Faso
32,BDI,Burundi,176,Africa,https://en.wikipedia.org/wiki/Burundi
33,CPV,Cabo Verde,189,Africa,https://en.wikipedia.org/wiki/Cape_Verde
34,KHM,Cambodia,118,Asia,https://en.wikipedia.org/wiki/Cambodia
35,CMR,Cameroon,162,Africa,https://en.wikipedia.org/wiki/Cameroon
36,CAN,Canada,1,North America,https://en.wikipedia.org/wiki/Canada
37,CYM,Cayman Islands,A5,Other,https://en.wikipedia.org/wiki/Cayman_Islands
38,CAF,Central African Republic,161,Africa,https://en.wikipedia.org/wiki/Central_African_Republic
39,TCD,Chad,160,Africa,https://en.wikipedia.org/wiki/Chad
40,CHI,Channel Islands,A6,Other,https://en.wikipedia.org/wiki/Channel_Islands
41,CHL,Chile,34,South America,https://en.wikipedia.org/wiki/Chile
42,CHN,China,111,Asia,https://en.wikipedia.org/wiki/China
43,COL,Colombia,24,South America,https://en.wikipedia.org/wiki/Colombia
44,COM,Comoros,192,Africa,https://en.wikipedia.org/wiki/Comoros
45,COD,"Congo, Dem. Rep.",166,Africa,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
46,COG,"Congo, Rep.",165,Africa,https://en.wikipedia.org/wiki/Republic_of_the_Congo
47,CRI,Costa Rica,9,North America,https://en.wikipedia.org/wiki/Costa_Rica
48,CIV,Cote d'Ivoire,154,Africa,https://en.wikipedia.org/wiki/Ivory_Coast
49,HRV,Croatia,71,Europe,https://en.wikipedia.org/wiki/Croatia
50,CUB,Cuba,12,North America,https://en.wikipedia.org/wiki/Cuba
51,CUW,Curacao,A7,Other,https://en.wikipedia.org/wiki/Curacao
52,CYP,Cyprus,79,Europe,https://en.wikipedia.org/wiki/Cyprus
53,CZE,Czech Republic,51,Europe,https://en.wikipedia.org/wiki/Czech_Republic
54,DNK,Denmark,55,Europe,https://en.wikipedia.org/wiki/Denmark
55,DJI,Djibouti,173,Africa,https://en.wikipedia.org/wiki/Djibouti
56,DMA,Dominica,18,North America,https://en.wikipedia.org/wiki/Dominica
57,DOM,Dominican Republic,15,North America,https://en.wikipedia.org/wiki/Dominican_Republic
58,ECU,Ecuador,29,South America,https://en.wikipedia.org/wiki/Ecuador
59,EGY,"Egypt, Arab Rep.",144,Africa,https://en.wikipedia.org/wiki/Egypt
